step,epoch,loss,val_loss,learning_rate,gpu_vram,gpu_util,elapsed_seconds
2,0.01,2.4633,None,4e-05,8.20GB / 11.82GB,69.4%,52.36
4,0.03,2.2332,None,0.00012,8.20GB / 11.82GB,69.4%,94.52
6,0.04,1.9568,None,0.0002,8.20GB / 11.82GB,69.4%,137.97
8,0.06,1.54,None,0.0001999890203099519,8.20GB / 11.82GB,69.4%,181.17
10,0.07,1.2609,None,0.00019995608365087946,8.20GB / 11.82GB,69.4%,225.13
10,0.07,None,1.1267465353012085,0.0,8.20GB / 11.82GB,69.4%,332.46
12,0.08,1.1939,None,0.0001999011972554688,8.20GB / 11.82GB,69.4%,378.6
14,0.1,0.9982,None,0.00019982437317643217,8.20GB / 11.82GB,69.4%,421.89
16,0.11,0.6801,None,0.00019972562828386102,8.20GB / 11.82GB,69.4%,465.15
18,0.13,0.7051,None,0.0001996049842615217,8.20GB / 11.82GB,69.4%,508.35
20,0.14,0.7077,None,0.00019946246760209362,8.20GB / 11.82GB,69.4%,551.59
20,0.14,None,0.6795667409896851,0.0,8.20GB / 11.82GB,69.4%,659.0
22,0.15,0.7013,None,0.00019929810960135172,8.20GB / 11.82GB,69.4%,704.65
24,0.17,0.6941,None,0.0001991119463512941,8.20GB / 11.82GB,69.4%,747.85
26,0.18,0.5811,None,0.0001989040187322164,8.20GB / 11.82GB,69.4%,791.01
28,0.2,0.5956,None,0.00019867437240373489,8.20GB / 11.82GB,69.4%,834.92
30,0.21,0.6495,None,0.00019842305779475968,8.20GB / 11.82GB,69.4%,878.44
30,0.21,None,0.5973930954933167,0.0,8.20GB / 11.82GB,69.4%,986.01
32,0.22,0.5773,None,0.00019815013009242104,8.20GB / 11.83GB,69.3%,1030.25
34,0.24,0.5939,None,0.0001978556492299504,8.20GB / 11.83GB,69.3%,1073.29
36,0.25,0.5146,None,0.00019753967987351978,8.20GB / 11.83GB,69.3%,1116.67
38,0.27,0.5318,None,0.0001972022914080411,8.20GB / 11.83GB,69.3%,1160.17
40,0.28,0.53,None,0.0001968435579219299,8.20GB / 11.83GB,69.3%,1203.12
40,0.28,None,0.573368489742279,0.0,8.20GB / 11.83GB,69.3%,1310.3
42,0.29,0.582,None,0.00019646355819083589,8.20GB / 11.83GB,69.3%,1356.79
44,0.31,0.6274,None,0.00019606237566034443,8.20GB / 11.83GB,69.3%,1399.16
46,0.32,0.6828,None,0.00019564009842765225,8.20GB / 11.83GB,69.3%,1441.03
48,0.34,0.6128,None,0.00019519681922222195,8.20GB / 11.83GB,69.3%,1482.91
50,0.35,0.5234,None,0.00019473263538541914,8.20GB / 11.83GB,69.3%,1526.44
50,0.35,None,0.5559531450271606,0.0,8.20GB / 11.83GB,69.3%,1633.08
52,0.36,0.6094,None,0.0001942476488491369,8.20GB / 11.83GB,69.3%,1679.86
54,0.38,0.6169,None,0.0001937419661134121,8.20GB / 11.83GB,69.3%,1722.37
56,0.39,0.5814,None,0.0001932156982230388,8.20GB / 11.83GB,69.3%,1765.1
58,0.41,0.5618,None,0.00019266896074318334,8.20GB / 11.83GB,69.3%,1807.81
60,0.42,0.569,None,0.0001921018737340071,8.20GB / 11.83GB,69.3%,1850.44
60,0.42,None,0.5452223420143127,0.0,8.20GB / 11.83GB,69.3%,1958.12
62,0.43,0.7125,None,0.00019151456172430183,8.20GB / 11.83GB,69.3%,2003.72
64,0.45,0.5437,None,0.0001909071536841442,8.20GB / 11.83GB,69.3%,2046.89
66,0.46,0.647,None,0.00019027978299657436,8.20GB / 11.83GB,69.3%,2088.33
